id,palavra,traducao,pronuncia
1,a,a,"/æɪ/"
2,abandon,abandonar,"/əˈbæn.dən/"
3,ability,capacidade,"/əˈ.bɪl.ɪ.ti/"
4,able,capaz,"/ˈeɪ.bl̩/"
5,abortion,aborto,"/əˈbɔɹ.ʃn̩/"
6,about,sobre,"/əˈbɛʊt/"
7,above,acima,"/əˈbʌv/"
8,abroad,"no estrangeiro","/əˈbɹɔːd/"
9,absence,"ausência","/ˈæb.s(ə)n̩s/"
10,absolute,absoluto,"/ˈæb.səˌljuːt/"
11,absolutely,absolutamente,"/æb.səˈl(j)uːt.lɪ/"
12,absorb,absorver,"/əbˈsɔːb/"
13,abuse,abuso,"/əˈbjuːs/"
14,academic,"académico","/ˌækəˈdɛmɪk/"
15,accept,aceitar,"/ækˈsɛpt/"
16,access,acesso,"/ˈæksɛs/"
17,accident,acidente,"/ˈæk.sə.dənt/"
18,accompany,acompanhar,"/ə.ˈkʌm.pə.ni/"
19,accomplish,realizar,"/əˈkɐm.plɪʃ/"
20,according,"de acordo com","/əˈkɔːdɪŋ/"
21,account,conta,"/ə.ˈkaʊnt/"
22,accurate,exato,"/ˈæk.jə.ɹɪt/"
23,accuse,acusar,"/əˈkjuːz/"
24,achieve,"alcançar","/əˈtʃiːv/"
25,achievement,"realização","/əˈtʃiːvmənt/"
26,acid,"ácido","/ˈæs.ɪd/"
27,acknowledge,reconhecer,"/əkˈnɒ.lɪdʒ/"
28,acquire,adquirir,"/əˈkwaɪə/"
29,across,transversalmente,"/əˈkɹɑs/"
30,act,ato,""
31,action,"ação",""
32,active,ativo,""
33,activist,ativista,""
34,activity,atividade,""
35,actor,ator,""
36,actress,atriz,""
37,actual,atual,""
38,actually,"de facto",""
39,ad,"anúncio",""
40,adapt,adaptar,""
41,add,adicionar,""
42,addition,"adição",""
43,additional,adicionais,""
44,address,"endereço",""
45,adequate,adequado,""
46,adjust,ajustar,""
47,adjustment,ajustamento,""
48,administration,"administração",""
49,administrator,administrador,""
50,admire,admirar,""
51,admission,"admissão",""
52,admit,admitir,""
53,adolescent,adolescente,""
54,adopt,adotar,""
55,adult,adulto,""
56,advance,"avanço",""
57,advanced,"avançado",""
58,advantage,vantagem,""
59,adventure,aventura,""
60,advertising,publicidade,""
61,advice,aconselhamento,""
62,advise,aconselhar,""
63,adviser,conselheiro,""
64,advocate,defensor,""
65,affair,caso,""
66,affect,afetar,""
67,afford,pagar,""
68,afraid,"com medo",""
69,African,Africano,""
70,African-American,Afro-americano,""
71,after,"após",""
72,afternoon,tarde,""
73,again,novamente,""
74,against,contra,""
75,age,idade,""
76,agency,"agência",""
77,agenda,agenda,""
78,agent,agente,""
79,aggressive,agressivo,""
80,ago,"atrás",""
81,agree,concordar,""
82,agreement,acordo,""
83,agricultural,agricultural,""
84,ah,ah,""
85,ahead,adiante,""
86,aid,ajuda,""
87,aide,ajudante,""
88,AIDS,SIDA,""
89,aim,objetivo,""
90,air,ar,""
91,aircraft,"avião",""
92,airline,"companhia aérea",""
93,airport,aeroporto,""
94,album,"álbum",""
95,alcohol,"álcool",""
96,alive,vivo,""
97,all,todos,""
98,alliance,"aliança",""
99,allow,permitir,""
100,ally,aliado,""
101,almost,quase,""
102,alone,sozinho,""
103,along,"ao longo",""
104,already,"já",""
105,also,"também",""
106,alter,idade,""
